Reference Area,Time Period,Value
Armenia,2013,0.999608
Austria,2012,0.979294
Belgium,2012,0.968614
Bolivia (Plurinational State of),2012,0.756607
Canada,2012,0.983707
Colombia,2012,0.937659
Czechia,2012,0.972322
Denmark,2012,0.962629
Estonia,2012,0.989583
Finland,2012,0.979671
France,2012,0.921067
Georgia,2013,0.940725
Germany,2012,0.967932
Ghana,2013,0.361591
Ireland,2012,0.958506
Italy,2012,0.955566
Japan,2012,0.993397
Lao People's Democratic Republic,2012,0.676568
Netherlands,2012,0.981091
Norway,2012,0.967639
Poland,2012,0.977167
Republic of Korea,2012,0.975224
Russian Federation,2012,0.99784
Slovakia,2012,0.989079
Spain,2012,0.951606
Sri Lanka,2012,0.836563
Sweden,2012,0.970857
United Kingdom of Great Britain and Northern Ireland,2012,0.968974
United States of America,2012,0.965049
Viet Nam,2012,0.929636
