Country or Area,Year,Value
Afghanistan,2011,32.11322302
Albania,2011,98.85624013
Albania,2008,99.12132159
Albania,2001,99.49808188
Algeria,2006,89.13823946
Algeria,2002,86.13399231
Angola,2012,66.36176
Angola,2001,63.18211703
Argentina,2012,99.42428
Argentina,2001,99.12767253
Argentina,1991,98.54020866
Armenia,2001,99.86166942
Aruba,2010,99.32309724
Aruba,2000,99.16637105
Azerbaijan,2012,99.91766643
Azerbaijan,2011,99.9317639
Azerbaijan,2010,99.93333333
Azerbaijan,2009,99.9457877
Azerbaijan,2007,100
Azerbaijan,1999,99.9014917
Bahrain,2010,97.58233928
Bahrain,2001,97.25061065
Bahrain,1991,96.57877083
Bangladesh,2012,81.91162
Bangladesh,2001,60.2562288
Bangladesh,1991,37.98974561
Belarus,2009,99.84739484
Belarus,1999,99.82820954
Belize,1991,76.70194888
Benin,2006,30.78655235
Benin,2002,33.23800182
Benin,1992,26.69029136
Bhutan,2005,67.96426105
Bolivia,2012,98.82861298
Bolivia,2011,98.77201902
Bolivia,2009,99.0843005
Bolivia,2008,98.87941258
Bolivia,2007,99.14457902
Bolivia,2001,96.11461933
Bolivia,1992,91.56598071
Bosnia and Herzegovina,2012,99.68727
Bosnia and Herzegovina,2000,99.84362783
Botswana,2012,97.89585
Botswana,2003,95.59601938
Botswana,1991,92.25187633
Brazil,2012,99.01782424
Brazil,2011,99.07314524
Brazil,2010,98.31873712
Brazil,2009,98.69204142
Brazil,2008,98.53110913
Brazil,2007,98.5594285
Brazil,2006,98.3616589
Brazil,2004,97.90385807
Brazil,2000,95.7190151
Brunei Darussalam,2012,99.74885
Brunei Darussalam,2001,98.91217149
Brunei Darussalam,1991,98.08379207
Bulgaria,2011,97.65106177
Bulgaria,2001,98.1097691
Burkina Faso,2007,33.12532489
Burkina Faso,2006,26.53412352
Burkina Faso,2005,26.48289765
Burkina Faso,2003,24.81137103
Burkina Faso,1996,13.98534264
Burkina Faso,1991,14.17374551
Burundi,2008,88.11345376
Burundi,2000,70.3652968
Burundi,1990,48.01126172
Cambodia,2009,85.86867572
Cambodia,2008,85.53456917
Cambodia,2004,78.89599846
Cambodia,1998,71.07159336
Cameroon,2010,76.42093338
Cameroon,2007,77.48205411
Cameroon,2000,77.96248934
Cape Verde,2012,98.39818192
Cape Verde,2004,98.02903
Cape Verde,1990,86.41509434
Cayman Islands,2007,98.62332696
Central African Republic,2010,26.97132521
Central African Republic,2000,49.019348
Chad,2012,43.99729
Chad,2004,30.77490775
Chad,2000,23.23540258
Chad,1993,8.945835597
Chile,2009,98.89001817
Chile,2008,99.19581276
Chile,2002,99.18333644
Chile,1992,98.70086383
China,2010,99.59303869
China,2000,98.50486323
China,1990,91.45470238
"China, Macao Special Administrative Region",2006,99.69965524
"China, Macao Special Administrative Region",2001,99.81015935
Colombia,2011,98.72433992
Colombia,2010,98.51719821
Colombia,2009,98.43471919
Colombia,2008,98.42686716
Colombia,2007,98.41899806
Colombia,2006,98.19490545
Colombia,2005,98.37486744
Colombia,2004,98.41067557
Colombia,1996,97.56674027
Colombia,1993,91.84652812
Comoros,2012,86.51807
Comoros,2000,77.55762232
Congo,2011,76.94607781
Costa Rica,2011,99.25811686
Costa Rica,2000,98.03840889
Cote d'Ivoire,2012,38.75008128
Cote d'Ivoire,2000,52.12516734
Cote d'Ivoire,1998,39.84909459
Croatia,2011,99.735717
