Reference Area,Time Period,Sex,Value
Andorra,2012,Female,100
Andorra,2012,Male,100
Andorra,2012,Total,100
Andorra,2011,Female,100
Andorra,2011,Male,100
Andorra,2011,Total,100
Andorra,2010,Female,100
Andorra,2010,Male,100
Andorra,2010,Total,100
Andorra,2009,Female,100
Andorra,2009,Male,100
Andorra,2009,Total,100
Andorra,2006,Female,100
Andorra,2006,Male,100
Andorra,2006,Total,100
Antigua and Barbuda,2010,Female,39.92933
Antigua and Barbuda,2010,Male,32.55814
Antigua and Barbuda,2010,Total,38.21138
Antigua and Barbuda,2009,Female,38.51852
Antigua and Barbuda,2009,Male,37.27273
Antigua and Barbuda,2009,Total,38.15789
Antigua and Barbuda,2008,Female,51.78571
Antigua and Barbuda,2008,Male,47.56757
Antigua and Barbuda,2008,Total,50.43328
Antigua and Barbuda,2000,Female,32.98969
Antigua and Barbuda,2000,Male,59.49367
Antigua and Barbuda,2000,Total,40.65934
Bahamas,2010,Total,89.00204
Bahamas,2009,Female,83.24873
Bahamas,2009,Male,80.86957
Bahamas,2009,Total,82.52427
Bahamas,2008,Female,86.31985
Bahamas,2008,Male,87.19807
Bahamas,2008,Total,86.57025
Bahamas,2007,Female,87.12776
Bahamas,2007,Male,80.8656
Bahamas,2007,Total,85.27027
Bahamas,2006,Female,90.53549
Bahamas,2006,Male,86.79928
Bahamas,2006,Total,89.0118
Bahamas,2005,Female,89.84962
Bahamas,2005,Male,88.36207
Bahamas,2005,Total,89.51456
Bahamas,2002,Female,100
Bahamas,2002,Male,100
Bahamas,2002,Total,100
Bahrain,2015,Female,83.81727
Bahrain,2015,Male,81.03825
Bahrain,2015,Total,82.66485
Bahrain,2014,Female,84.16928
Bahrain,2014,Male,80.59347
Bahrain,2014,Total,82.74723
Bahrain,2013,Female,83.71904
Bahrain,2013,Male,80.42131
Bahrain,2013,Total,82.41354
Bahrain,2012,Female,83.15789
Bahrain,2012,Male,80.62069
Bahrain,2012,Total,82.19608
Bahrain,2011,Total,80.23935
Bangladesh,2013,Female,78.8914
Bangladesh,2013,Male,54.82453
Bangladesh,2013,Total,59.6132
Bangladesh,2012,Female,78.91277
Bangladesh,2012,Male,54.87027
Bangladesh,2012,Total,59.65634
Bangladesh,2011,Female,72.21014
Bangladesh,2011,Male,56.18156
Bangladesh,2011,Total,59.66981
Bangladesh,2010,Female,68.10081
Bangladesh,2010,Male,56.05818
Bangladesh,2010,Total,58.48946
Bangladesh,2009,Female,71.73495
Bangladesh,2009,Male,53.81065
Bangladesh,2009,Total,57.44479
Bangladesh,2008,Female,75.30484
Bangladesh,2008,Male,52.74142
Bangladesh,2008,Total,57.14402
Bangladesh,2007,Female,54.28199
Bangladesh,2007,Male,42.14165
Bangladesh,2007,Total,44.50926
Bangladesh,2004,Female,44.35119
Bangladesh,2004,Male,36.2117
Bangladesh,2004,Total,37.61242
Bangladesh,2003,Female,46.64491
Bangladesh,2003,Male,35.2192
Bangladesh,2003,Total,36.95974
Bangladesh,2002,Female,62.28616
Bangladesh,2002,Male,33.04341
Bangladesh,2002,Total,37.0854
Bangladesh,2001,Female,51.31852
Bangladesh,2001,Male,32.95101
Bangladesh,2001,Total,35.50985
Bangladesh,2000,Female,54.27949
Bangladesh,2000,Male,34.12303
Bangladesh,2000,Total,36.84013
Belarus,2015,Female,97.99825
Belarus,2015,Male,98.00299
Belarus,2015,Total,97.99907
Belarus,2014,Female,98.1424
Belarus,2014,Male,98.13505
Belarus,2014,Total,98.14112
Belarus,2013,Female,98.00307
Belarus,2013,Male,98.21675
Belarus,2013,Total,98.04022
Belize,2015,Female,55.76748
Belize,2015,Male,39.17355
Belize,2015,Total,49.88277
Belize,2014,Female,53.25203
Belize,2014,Male,38.0597
Belize,2014,Total,47.89474
Belize,2013,Female,43.24045
Belize,2013,Male,29.24188
Belize,2013,Total,38.14839
Belize,2012,Female,47.10071
Belize,2012,Male,33.10105
Belize,2012,Total,41.93963
Belize,2010,Female,43.06652
Belize,2010,Male,32.42259
Belize,2010,Total,38.99721
Belize,2009,Female,39.48598
Belize,2009,Male,29.00763
Belize,2009,Total,35.50725
Belize,2008,Female,40.74074
Belize,2008,Male,29.57198
Belize,2008,Total,36.40483
Belize,2007,Female,40.07634
Belize,2007,Male,36.30832
Belize,2007,Total,38.62392
