Reference Area,Time Period,Sex,Value
Belize,2006,Female,40.42272
Belize,2006,Male,30.47035
Belize,2006,Total,36.51685
Belize,2004,Female,54.11437
Belize,2004,Male,24.22803
Belize,2004,Total,43.058
Belize,2003,Female,42.44966
Belize,2003,Male,38.03681
Belize,2003,Total,40.88937
Belize,2001,Female,42.46324
Belize,2001,Male,31.31313
Belize,2001,Total,38.52556
Belize,2000,Female,54.27435
Belize,2000,Male,54.4484
Belize,2000,Total,54.33673
Benin,2000,Female,43.77407
Benin,2000,Male,38.6208
Benin,2000,Total,39.21395
Bermuda,2014,Female,100
Bermuda,2014,Male,100
Bermuda,2014,Total,100
Bermuda,2013,Female,79.85612
Bermuda,2013,Male,90.55118
Bermuda,2013,Total,83.20988
Bermuda,2012,Female,100
Bermuda,2012,Male,100
Bermuda,2012,Total,100
Bermuda,2011,Female,100
Bermuda,2011,Male,100
Bermuda,2011,Total,100
Bermuda,2006,Female,100
Bermuda,2006,Male,100
Bermuda,2006,Total,100
Bermuda,2005,Female,100
Bermuda,2005,Male,100
Bermuda,2005,Total,100
Bermuda,2004,Female,100
Bermuda,2004,Male,100
Bermuda,2004,Total,100
Bermuda,2003,Female,100
Bermuda,2003,Male,100
Bermuda,2003,Total,100
Bermuda,2002,Female,100
Bermuda,2002,Male,100
Bermuda,2002,Total,100
Bermuda,2001,Female,100
Bermuda,2001,Male,100
Bermuda,2001,Total,100
Bhutan,2016,Female,100
Bhutan,2016,Male,100
Bhutan,2016,Total,100
Bhutan,2008,Total,90.22222
Bhutan,2006,Female,91.94631
Bhutan,2006,Male,91.98036
Bhutan,2006,Total,91.96355
Bhutan,2005,Female,94.92537
Bhutan,2005,Male,92.81843
Bhutan,2005,Total,93.47623
British Virgin Islands,2003,Female,77.61194
British Virgin Islands,2003,Male,60
British Virgin Islands,2003,Total,71.56863
Brunei Darussalam,2015,Female,93.11701
Brunei Darussalam,2015,Male,89.97429
Brunei Darussalam,2015,Total,92.24751
Brunei Darussalam,2014,Female,94.3304
Brunei Darussalam,2014,Male,93.07876
Brunei Darussalam,2014,Total,93.96671
Burkina Faso,2009,Female,56.92619
Burkina Faso,2009,Male,48.56546
Burkina Faso,2009,Total,49.88804
Burundi,2015,Female,100
Burundi,2015,Male,100
Burundi,2015,Total,100
Burundi,2014,Female,58.49561
Burundi,2014,Male,75.2008
Burundi,2014,Total,71.06829
Cabo Verde,2014,Female,84.17191
Cabo Verde,2014,Male,71.71548
Cabo Verde,2014,Total,77.24523
Cabo Verde,2012,Female,80.98988
Cabo Verde,2012,Male,72.05524
Cabo Verde,2012,Total,75.80189
Cabo Verde,2010,Female,74.23888
Cabo Verde,2010,Male,62.68024
Cabo Verde,2010,Total,67.53566
Cabo Verde,2009,Female,72.33782
Cabo Verde,2009,Male,64.94932
Cabo Verde,2009,Total,67.96602
Cabo Verde,2008,Female,66.133
Cabo Verde,2008,Male,62.54266
Cabo Verde,2008,Total,64.0121
Cabo Verde,2007,Female,61.84896
Cabo Verde,2007,Male,56.32799
Cabo Verde,2007,Total,58.57143
Cambodia,2015,Female,100
Cambodia,2015,Male,100
Cambodia,2015,Total,100
Cambodia,2014,Female,100
Cambodia,2014,Male,100
Cambodia,2014,Total,100
Cambodia,2013,Female,100
Cambodia,2013,Male,100
Cambodia,2013,Total,100
Cambodia,2012,Female,100
Cambodia,2012,Male,100
Cambodia,2012,Total,100
Cambodia,2010,Total,99.75855
Cambodia,2009,Total,98.51174
Cambodia,2008,Total,98.76792
Cambodia,2007,Total,99.15657
Cambodia,2006,Total,99.20809
Cambodia,2005,Total,99.89076
Cambodia,2004,Total,99.94659
Cambodia,2002,Total,99.71534
Cambodia,2001,Total,99.7299
Cameroon,2015,Female,59.10384
Cameroon,2015,Male,45.58406
Cameroon,2015,Total,50.02977
Cameroon,2013,Female,40.12262
Cameroon,2013,Male,29.44722
Cameroon,2013,Total,33.01315
Cayman Islands,2012,Female,99.50495
Cayman Islands,2012,Male,97.95918
Cayman Islands,2012,Total,99
Cayman Islands,2011,Female,98.91304
Cayman Islands,2011,Male,100
Cayman Islands,2011,Total,99.45946
Cayman Islands,2006,Female,100
Cayman Islands,2006,Male,100
Cayman Islands,2006,Total,100
Cayman Islands,2005,Female,100
Cayman Islands,2005,Male,98.18182
Cayman Islands,2005,Total,99.28571
Cayman Islands,2004,Female,100
Cayman Islands,2004,Male,97.72727
Cayman Islands,2004,Total,99.08257
Cayman Islands,2002,Female,100
Cayman Islands,2002,Male,100
Cayman Islands,2002,Total,100
Cayman Islands,2001,Female,100
Cayman Islands,2001,Male,100
Cayman Islands,2001,Total,100
Cayman Islands,2000,Female,100
Cayman Islands,2000,Male,100
Cayman Islands,2000,Total,100
"China, Macao Special Administrative Region",2015,Female,88.57902
"China, Macao Special Administrative Region",2015,Male,85.14412
"China, Macao Special Administrative Region",2015,Total,87.29236
"China, Macao Special Administrative Region",2014,Female,84.13333
"China, Macao Special Administrative Region",2014,Male,73.33333
"China, Macao Special Administrative Region",2014,Total,80
"China, Macao Special Administrative Region",2013,Female,80.26846
"China, Macao Special Administrative Region",2013,Male,66.66667
"China, Macao Special Administrative Region",2013,Total,75.23246
"China, Macao Special Administrative Region",2012,Female,79.3956
"China, Macao Special Administrative Region",2012,Male,63.02326
"China, Macao Special Administrative Region",2012,Total,73.31606
"China, Macao Special Administrative Region",2011,Female,78.45161
"China, Macao Special Administrative Region",2011,Male,57.89474
"China, Macao Special Administrative Region",2011,Total,70.83672
"China, Macao Special Administrative Region",2010,Female,78.41352
"China, Macao Special Administrative Region",2010,Male,54.91071
"China, Macao Special Administrative Region",2010,Total,69.76171
"China, Macao Special Administrative Region",2009,Female,79.63206
"China, Macao Special Administrative Region",2009,Male,53.51474
"China, Macao Special Administrative Region",2009,Total,70.04992
"China, Macao Special Administrative Region",2008,Female,81.84282
"China, Macao Special Administrative Region",2008,Male,56.36792
"China, Macao Special Administrative Region",2008,Total,72.54733
"China, Macao Special Administrative Region",2007,Female,80.58511
"China, Macao Special Administrative Region",2007,Male,57.00246
"China, Macao Special Administrative Region",2007,Total,72.30371
"China, Macao Special Administrative Region",2006,Female,78.62166
"China, Macao Special Administrative Region",2006,Male,52.41546
"China, Macao Special Administrative Region",2006,Total,68.97778
"China, Macao Special Administrative Region",2005,Female,76.85835
"China, Macao Special Administrative Region",2005,Male,50.35461
"China, Macao Special Administrative Region",2005,Total,66.98944
"China, Macao Special Administrative Region",2004,Female,73.57143
"China, Macao Special Administrative Region",2004,Male,46.69704
"China, Macao Special Administrative Region",2004,Total,63.21335
"China, Macao Special Administrative Region",2003,Female,72.9771
"China, Macao Special Administrative Region",2003,Male,46.23377
"China, Macao Special Administrative Region",2003,Total,63.07692
"China, Macao Special Administrative Region",2002,Female,70.79511
"China, Macao Special Administrative Region",2002,Male,46.11399
"China, Macao Special Administrative Region",2002,Total,61.63462
"China, Macao Special Administrative Region",2001,Female,68.9769
"China, Macao Special Administrative Region",2001,Male,48.63524
"China, Macao Special Administrative Region",2001,Total,60.85233
"China, Macao Special Administrative Region",2000,Female,66.32302
"China, Macao Special Administrative Region",2000,Male,51.12994
"China, Macao Special Administrative Region",2000,Total,60.57692
Colombia,2014,Female,99.28957
Colombia,2014,Male,98.62823
Colombia,2014,Total,98.98533
Colombia,2013,Female,98.85783
Colombia,2013,Male,97.81496
Colombia,2013,Total,98.37752
Colombia,2012,Female,98.05706
Colombia,2012,Male,96.52993
Colombia,2012,Total,97.35646
Colombia,2011,Female,97.55102
Colombia,2011,Male,96.53249
Colombia,2011,Total,97.07384
Colombia,2010,Female,97.47641
Colombia,2010,Male,95.14719
Colombia,2010,Total,96.348
Colombia,2009,Female,97.46264
Colombia,2009,Male,95.14374
Colombia,2009,Total,96.33589
Colombia,2007,Female,97.474
Colombia,2007,Male,95.14527
Colombia,2007,Total,96.34536
Comoros,2011,Female,59.85222
Comoros,2011,Male,81.79391
Comoros,2011,Total,77.88504
Comoros,2003,Total,55.66132
Congo,2012,Female,99.25651
Congo,2012,Male,44.35897
Congo,2012,Total,47.90118
Costa Rica,2015,Female,96.71141
Costa Rica,2015,Male,96.80144
Costa Rica,2015,Total,96.74984
Costa Rica,2014,Female,95.80778
Costa Rica,2014,Male,96.24689
Costa Rica,2014,Total,95.99499
Costa Rica,2013,Female,95.82439
Costa Rica,2013,Male,96.22119
Costa Rica,2013,Total,95.99376
Costa Rica,2011,Female,89.56136
Costa Rica,2011,Male,90.0212
Costa Rica,2011,Total,89.75236
Costa Rica,2010,Female,87.78999
Costa Rica,2010,Male,88.33399
Costa Rica,2010,Total,88.01707
Costa Rica,2009,Female,85.59083
Costa Rica,2009,Male,87.10115
Costa Rica,2009,Total,86.22056
Costa Rica,2008,Female,82.64615
Costa Rica,2008,Male,84.44879
Costa Rica,2008,Total,83.40924
Costa Rica,2007,Female,84.7769
Costa Rica,2007,Male,86.66033
Costa Rica,2007,Total,85.58595
Costa Rica,2006,Female,79.37961
Costa Rica,2006,Male,81.21739
Costa Rica,2006,Total,80.16826
Costa Rica,2002,Total,83.72505
Costa Rica,2001,Total,84.65016
Croatia,2003,Female,100
Croatia,2003,Male,100
Croatia,2003,Total,100
Croatia,2002,Female,100
Croatia,2002,Male,100
Croatia,2002,Total,100
Croatia,2001,Female,100
Croatia,2001,Male,100
Croatia,2001,Total,100
Croatia,2000,Female,100
Croatia,2000,Male,100
Croatia,2000,Total,100
Cuba,2015,Female,100
Cuba,2015,Male,100
Cuba,2015,Total,100
Cuba,2014,Female,100
Cuba,2014,Male,100
Cuba,2014,Total,100
Cuba,2013,Female,100
Cuba,2013,Male,100
Cuba,2013,Total,100
Cuba,2012,Female,100
Cuba,2012,Male,100
Cuba,2012,Total,100
Cuba,2011,Female,100
Cuba,2011,Male,100
Cuba,2011,Total,100
Cuba,2010,Female,100
Cuba,2010,Male,100
Cuba,2010,Total,100
Cuba,2009,Female,100
Cuba,2009,Male,100
Cuba,2009,Total,100
Cuba,2008,Female,100
Cuba,2008,Male,100
Cuba,2008,Total,100
Cuba,2007,Female,100
Cuba,2007,Male,100
Cuba,2007,Total,100
Cuba,2006,Female,100
Cuba,2006,Male,100
Cuba,2006,Total,100
Cuba,2005,Female,100
Cuba,2005,Male,100
Cuba,2005,Total,100
Cuba,2004,Female,76.905
Cuba,2004,Male,77.07541
Cuba,2004,Total,76.96438
Cuba,2003,Female,84.04303
Cuba,2003,Male,83.7741
Cuba,2003,Total,83.95458
Cuba,2002,Female,85.81271
Cuba,2002,Male,85.71032
Cuba,2002,Total,85.77862
Cuba,2001,Female,94.53979
Cuba,2001,Male,94.33324
Cuba,2001,Total,94.47183
Cuba,2000,Female,86.68395
Cuba,2000,Male,86.54845
Cuba,2000,Total,86.64103
Djibouti,2015,Female,100
Djibouti,2015,Male,100
Djibouti,2015,Total,100
Djibouti,2014,Total,100
Djibouti,2011,Female,100
Djibouti,2011,Male,100
Djibouti,2011,Total,100
Dominica,2014,Female,47.61905
Dominica,2014,Male,42.25352
Dominica,2014,Total,46.15385
Dominica,2011,Female,39.10891
Dominica,2011,Male,31.64557
Dominica,2011,Total,37.01068
Dominica,2010,Female,33.00971
Dominica,2010,Male,35.29412
Dominica,2010,Total,33.67698
Dominica,2009,Female,30.54187
Dominica,2009,Male,37.03704
Dominica,2009,Total,32.39437
Dominica,2008,Female,31.52709
Dominica,2008,Male,32.53012
Dominica,2008,Total,31.81818
Dominica,2007,Female,38.23529
Dominica,2007,Male,36.47059
Dominica,2007,Total,37.64706
Dominica,2006,Female,30.76923
Dominica,2006,Male,19.78022
Dominica,2006,Total,26.72065
Dominica,2005,Female,34.65347
Dominica,2005,Male,26.14379
Dominica,2005,Total,30.98592
Dominica,2004,Female,38.23529
Dominica,2004,Male,32.72727
Dominica,2004,Total,36.30573
Dominica,2003,Female,34.59459
Dominica,2003,Male,18.84058
Dominica,2003,Total,27.86378
Dominica,2002,Female,39.90385
Dominica,2002,Male,40.18692
Dominica,2002,Total,40
Dominica,2001,Female,33.51955
Dominica,2001,Male,27.58621
Dominica,2001,Total,31.57895
Dominica,2000,Female,30.85714
Dominica,2000,Male,32.91139
Dominica,2000,Total,31.49606
Dominican Republic,2012,Female,86.9194
Dominican Republic,2012,Male,78.41519
Dominican Republic,2012,Total,85.23895
Dominican Republic,2011,Female,86.44284
Dominican Republic,2011,Male,79.67587
Dominican Republic,2011,Total,85.12185
Dominican Republic,2010,Female,86.31987
Dominican Republic,2010,Male,79.6727
Dominican Republic,2010,Total,85.02021
Dominican Republic,2009,Female,72.5913
Dominican Republic,2009,Male,70.86168
Dominican Republic,2009,Total,72.26778
Dominican Republic,2008,Female,88.60444
Dominican Republic,2008,Male,89.28059
Dominican Republic,2008,Total,88.81457
Dominican Republic,2007,Female,96.49773
Dominican Republic,2007,Male,67.88149
Dominican Republic,2007,Total,88.26988
Dominican Republic,2006,Female,90.53333
Dominican Republic,2006,Male,81.27839
Dominican Republic,2006,Total,88.31047
Dominican Republic,2005,Female,90.48529
Dominican Republic,2005,Male,81.2563
Dominican Republic,2005,Total,88.26852
Dominican Republic,2004,Female,66.10416
Dominican Republic,2004,Male,57.92891
Dominican Republic,2004,Total,64.08961
Ecuador,2016,Female,78.59326
Ecuador,2016,Male,70.12896
Ecuador,2016,Total,75.29773
Ecuador,2015,Female,76.86233
Ecuador,2015,Male,68.80645
Ecuador,2015,Total,73.72877
Ecuador,2014,Female,77.09986
Ecuador,2014,Male,68.15819
Ecuador,2014,Total,73.627
Ecuador,2013,Female,75.67188
Ecuador,2013,Male,65.86108
Ecuador,2013,Total,71.82009
Ecuador,2012,Female,74.65866
Ecuador,2012,Male,64.71961
Ecuador,2012,Total,70.69158
Ecuador,2011,Female,74.33498
Ecuador,2011,Male,64.31728
Ecuador,2011,Total,70.3442
Ecuador,2010,Female,64.34052
Ecuador,2010,Male,57.20206
Ecuador,2010,Total,61.4597
Ecuador,2007,Female,76.82597
Ecuador,2007,Male,64.4507
Ecuador,2007,Total,70.61015
Ecuador,2006,Female,76.75324
Ecuador,2006,Male,64.03899
Ecuador,2006,Total,70.33383
Ecuador,2005,Female,76.25431
Ecuador,2005,Male,63.79718
Ecuador,2005,Total,69.95354
Ecuador,2004,Female,75.73184
Ecuador,2004,Male,63.64051
Ecuador,2004,Total,69.683
Ecuador,2003,Female,76.35283
Ecuador,2003,Male,64.67854
Ecuador,2003,Total,70.4887
Ecuador,2002,Female,74.05011
Ecuador,2002,Male,61.3999
Ecuador,2002,Total,67.69205
Ecuador,2001,Female,83.09338
Ecuador,2001,Male,82.20947
Ecuador,2001,Total,82.64913
Ecuador,2000,Female,82.97296
Ecuador,2000,Male,82.11666
Ecuador,2000,Total,82.54259
Egypt,2014,Female,70.31939
Egypt,2014,Male,60.06454
Egypt,2014,Total,65.01806
Egypt,2013,Female,69.40078
Egypt,2013,Male,58.79801
Egypt,2013,Total,63.84386
El Salvador,2015,Female,94.75581
El Salvador,2015,Male,91.8033
El Salvador,2015,Total,93.48589
El Salvador,2011,Female,94.62427
El Salvador,2011,Male,90.74336
El Salvador,2011,Total,92.8883
El Salvador,2009,Total,92.98234
El Salvador,2008,Female,91.4251
El Salvador,2008,Male,87.48416
El Salvador,2008,Total,89.61323
El Salvador,2007,Female,92.80401
El Salvador,2007,Male,89.80386
El Salvador,2007,Total,91.30576
El Salvador,2006,Female,93.47176
El Salvador,2006,Male,90.49939
El Salvador,2006,Total,92.02006
El Salvador,2005,Female,94.32307
El Salvador,2005,Male,91.16913
El Salvador,2005,Total,92.83252
El Salvador,2004,Female,95.17192
El Salvador,2004,Male,91.84886
El Salvador,2004,Total,93.65556
El Salvador,2003,Female,95.56916
El Salvador,2003,Male,92.52215
El Salvador,2003,Total,94.1841
Equatorial Guinea,2015,Female,11.06383
Equatorial Guinea,2015,Male,11.20507
Equatorial Guinea,2015,Total,11.18501
Eritrea,2013,Female,88.9881
Eritrea,2013,Male,85.06032
Eritrea,2013,Total,85.73624
Eritrea,2012,Female,85.44304
Eritrea,2012,Male,80.74189
Eritrea,2012,Total,81.51021
Eritrea,2011,Female,78.94737
Eritrea,2011,Male,67.49606
Eritrea,2011,Total,69.13947
Eritrea,2010,Female,73.40206
Eritrea,2010,Male,58.62285
Eritrea,2010,Total,60.57065
Eritrea,2009,Female,61.32931
Eritrea,2009,Male,53.69083
Eritrea,2009,Total,54.44511
Eritrea,2008,Female,48.0315
Eritrea,2008,Male,41.28559
Eritrea,2008,Total,41.95179
Eritrea,2007,Female,38.94389
Eritrea,2007,Male,36.45977
Eritrea,2007,Total,36.76352
Eritrea,2006,Female,44.35798
Eritrea,2006,Male,26.63384
Eritrea,2006,Total,28.46246
Eritrea,2005,Female,47.34694
Eritrea,2005,Male,26.86025
Eritrea,2005,Total,28.90976
Eritrea,2004,Female,44.90741
Eritrea,2004,Male,26.46914
Eritrea,2004,Total,28.24632
Eritrea,2003,Female,47.19101
Eritrea,2003,Male,29.45682
Eritrea,2003,Total,31.41264
Eritrea,2002,Female,38.41808
Eritrea,2002,Male,28.77219
Eritrea,2002,Total,29.88882
Eritrea,2001,Female,67.5
Eritrea,2001,Male,47.3295
Eritrea,2001,Total,49.6732
Eritrea,2000,Female,64.67066
Eritrea,2000,Male,46.89956
Eritrea,2000,Total,49.16159
Ethiopia,2011,Female,52.79192
Ethiopia,2011,Male,71.10432
Ethiopia,2011,Total,65.81457
Ethiopia,2010,Female,48.17462
Ethiopia,2010,Male,55.08979
Ethiopia,2010,Total,53.50435
Ethiopia,2009,Female,76.81341
Ethiopia,2009,Male,72.51054
Ethiopia,2009,Total,73.3754
Ethiopia,2008,Female,69.6972
Ethiopia,2008,Male,63.346
Ethiopia,2008,Total,64.62772
Fiji,2012,Female,100
Fiji,2012,Male,100
Fiji,2012,Total,100
Gambia,2016,Female,97.21485
Gambia,2016,Male,96.67431
Gambia,2016,Total,96.79525
Gambia,2015,Female,90.08152
Gambia,2015,Male,90.58672
Gambia,2015,Total,90.48984
Gambia,2014,Female,93.59699
Gambia,2014,Male,93.5498
Gambia,2014,Total,93.55872
Gambia,2013,Female,87.06564
Gambia,2013,Male,87.46631
Gambia,2013,Total,87.39067
Gambia,2012,Female,79.05544
Gambia,2012,Male,77.47115
Gambia,2012,Total,77.78226
Gambia,2011,Female,89.37824
Gambia,2011,Male,92.89157
Gambia,2011,Total,92.22874
Georgia,2009,Female,95.01312
Georgia,2009,Male,91.92283
Georgia,2009,Total,94.58567
Georgia,2008,Total,94.98829
Georgia,2000,Female,92.0533
Georgia,2000,Male,26.64902
Georgia,2000,Total,76.8342
Ghana,2016,Female,81.90393
Ghana,2016,Male,67.39453
Ghana,2016,Total,71.11458
Ghana,2015,Female,81.24212
Ghana,2015,Male,65.92955
Ghana,2015,Total,69.80592
Ghana,2014,Female,81.19745
Ghana,2014,Male,64.21102
Ghana,2014,Total,68.51498
Ghana,2013,Female,82.01136
Ghana,2013,Male,64.40342
Ghana,2013,Total,68.86468
Ghana,2012,Female,7.99375
Ghana,2012,Male,89.35861
Ghana,2012,Total,68.72809
Ghana,2011,Female,80.36275
Ghana,2011,Male,60.83615
Ghana,2011,Total,65.75793
Ghana,2010,Female,80.36202
Ghana,2010,Male,60.83695
Ghana,2010,Total,65.76001
Ghana,2009,Female,83.03529
Ghana,2009,Male,59.39931
Ghana,2009,Total,64.8154
Ghana,2008,Female,83.18653
Ghana,2008,Male,59.89432
Ghana,2008,Total,65.17188
Ghana,2007,Female,83.45175
Ghana,2007,Male,62.87095
Ghana,2007,Total,67.6263
Ghana,2006,Female,63.00738
Ghana,2006,Male,79.26854
Ghana,2006,Total,73.8534
Ghana,2005,Female,86.44885
Ghana,2005,Male,66.88681
Ghana,2005,Total,70.72805
Ghana,2004,Female,91.45361
Ghana,2004,Male,76.35063
Ghana,2004,Total,80.40608
Ghana,2003,Female,85.56872
Ghana,2003,Male,70.03546
Ghana,2003,Total,73.6144
Ghana,2002,Female,89.7657
Ghana,2002,Male,75.40177
Ghana,2002,Total,78.6321
Ghana,2001,Female,92.23591
Ghana,2001,Male,74.74162
Ghana,2001,Total,78.98357
Ghana,2000,Female,91.33935
Ghana,2000,Male,76.49229
Ghana,2000,Total,80.04314
Gibraltar,2009,Female,92.64706
Gibraltar,2009,Male,88.88889
Gibraltar,2009,Total,90.71429
Gibraltar,2008,Female,89.39394
Gibraltar,2008,Male,77.52809
Gibraltar,2008,Total,82.58065
Gibraltar,2001,Female,100
Gibraltar,2001,Male,100
Gibraltar,2001,Total,100
Gibraltar,2000,Female,96.22642
Gibraltar,2000,Male,100
Gibraltar,2000,Total,97.67442
Grenada,2015,Female,44.88449
Grenada,2015,Male,36.30573
Grenada,2015,Total,41.95652
Grenada,2014,Female,40.06734
Grenada,2014,Male,39.65517
Grenada,2014,Total,39.91507
Grenada,2005,Female,36.78474
Grenada,2005,Male,28.27869
Grenada,2005,Total,33.38789
Grenada,2003,Female,30.9375
Grenada,2003,Male,29.44444
Grenada,2003,Total,30.4
Guinea,2008,Female,93.38346
Guinea,2008,Male,88.54231
Guinea,2008,Total,88.85249
Guinea,2006,Female,87.08972
Guinea,2006,Male,87.52683
Guinea,2006,Total,87.50424
Guyana,2009,Female,57.83505
Guyana,2009,Male,53.75303
Guyana,2009,Total,56.61605
Guyana,2008,Female,55.94623
Guyana,2008,Male,50.4065
Guyana,2008,Total,54.23971
Guyana,2005,Female,54.74255
Guyana,2005,Male,46.11742
Guyana,2005,Total,51.6029
Guyana,2003,Female,58.50305
Guyana,2003,Male,54.13185
Guyana,2003,Total,56.95495
Honduras,2004,Female,69.54178
Honduras,2004,Male,60.07635
Honduras,2004,Total,65.36689
Iran (Islamic Republic of),2015,Female,100
Iran (Islamic Republic of),2015,Male,100
Iran (Islamic Republic of),2015,Total,100
Iran (Islamic Republic of),2014,Female,100
Iran (Islamic Republic of),2014,Male,100
Iran (Islamic Republic of),2014,Total,100
Iran (Islamic Republic of),2013,Female,100
Iran (Islamic Republic of),2013,Male,100
Iran (Islamic Republic of),2013,Total,100
Iran (Islamic Republic of),2005,Female,100
Iran (Islamic Republic of),2005,Male,100
Iran (Islamic Republic of),2005,Total,100
Iran (Islamic Republic of),2004,Female,100
Iran (Islamic Republic of),2004,Male,100
Iran (Islamic Republic of),2004,Total,100
Iraq,2004,Female,100
Iraq,2004,Male,100
Iraq,2004,Total,100
Iraq,2000,Female,100
Iraq,2000,Male,100
Iraq,2000,Total,100
Jordan,2014,Female,100
Jordan,2014,Male,100
Jordan,2014,Total,100
Kenya,2009,Total,96.22526
Kenya,2008,Female,99.25513
Kenya,2008,Male,97.72515
Kenya,2008,Total,98.41596
Kenya,2007,Total,98.69772
Kenya,2006,Total,99.43553
Kenya,2005,Female,99.31908
Kenya,2005,Male,98.59721
Kenya,2005,Total,98.91307
Kenya,2004,Female,98.05096
Kenya,2004,Male,99.09884
Kenya,2004,Total,98.634
Kiribati,2014,Female,86.03604
Kiribati,2014,Male,87.74194
Kiribati,2014,Total,86.7374
Kiribati,2008,Female,79.34272
Kiribati,2008,Male,79.10448
Kiribati,2008,Total,79.22705
Kiribati,2007,Female,76.03687
Kiribati,2007,Male,77.04918
Kiribati,2007,Total,76.5
Kiribati,2006,Female,57.35294
Kiribati,2006,Male,65.29412
Kiribati,2006,Total,60.96257
Kiribati,2005,Female,81.81818
Kiribati,2005,Male,85.5615
Kiribati,2005,Total,83.58586
Kuwait,2012,Female,82.14383
Kuwait,2012,Male,75.69014
Kuwait,2012,Total,79.14431
