Reference Area,Time Period,Value
Algeria,2015,100
Benin,2015,49.94159
Botswana,2012,0
Burundi,2015,99.13259
Burundi,2014,100
Burundi,2011,30.58568
Cote d'Ivoire,2015,100
Cote d'Ivoire,2014,100
Cote d'Ivoire,2013,100
Cote d'Ivoire,2012,100
Cabo Verde,2015,100
Cabo Verde,2014,100
Cabo Verde,2013,100
Cabo Verde,2010,100
Central African Republic,2012,48.80952
Central African Republic,2011,41.66667
Chad,2010,6.75
Comoros,2013,3.7037
Comoros,2012,3.84615
Congo,2012,0
Democratic Republic of the Congo,2011,79.46783
Djibouti,2016,100
Djibouti,2015,32.35294
Djibouti,2014,38.70968
Djibouti,2012,63.33333
Djibouti,2011,48.27586
Djibouti,2009,52.17391
Eritrea,2015,66.85552
Eritrea,2010,79.83193
Gambia,2016,89.47368
Gambia,2015,91.27907
Gambia,2014,91.44737
Gambia,2013,87.41259
Gambia,2011,59.52381
Guinea,2014,82.72425
Guinea,2013,73.45133
Guinea,2011,80.61224
Guinea,2010,78.49899
Madagascar,2015,45.83884
Madagascar,2013,22.72829
Mali,2012,20.10022
Mali,2011,20.10676
Mauritius,2014,100
Mauritius,2013,100
Mauritius,2012,100
Mauritius,2011,100
Mauritius,2010,100
Namibia,2012,97.6489
Namibia,2010,68.34171
Niger,2015,43.58407
Niger,2014,35.54054
Niger,2013,40.46823
Niger,2012,32.17116
Niger,2010,39.75904
Rwanda,2011,91.35802
Sao Tome and Principe,2015,100
Seychelles,2014,100
Seychelles,2012,100
Seychelles,2011,100
Swaziland,2012,91.37255
Swaziland,2011,77.2
Togo,2014,27.53425
Tunisia,2015,100
Tunisia,2014,100
Tunisia,2013,89.55916
Uganda,2015,86.41251
United Republic of Tanzania,2012,100
United Republic of Tanzania,2010,100
