Country or Area,Year,Value
Afghanistan,2011,61.87906895
Albania,2011,98.73135687
Albania,2008,98.53712498
Albania,2001,99.36845559
Algeria,2006,94.38147977
Algeria,2002,94.05754235
Angola,2012,79.75085
Angola,2001,83.77693283
Argentina,2012,99.0579
Argentina,2001,98.70789783
Argentina,1991,98.06549035
Armenia,2001,99.75234511
Aruba,2010,98.96573016
Aruba,2000,98.88175985
Azerbaijan,2012,99.95500056
Azerbaijan,2011,99.95602946
Azerbaijan,2010,99.96745498
Azerbaijan,2009,99.95678479
Azerbaijan,2007,100
Azerbaijan,1999,99.87033569
Bahrain,2010,98.61991147
Bahrain,2001,96.82707924
Bahrain,1991,97.25866593
Bangladesh,2012,78.00684
Bangladesh,2001,67.16380966
Bangladesh,1991,51.73673488
Belarus,2009,99.80032664
Belarus,1999,99.75687428
Belize,1991,76.13616058
Benin,2006,54.86693864
Benin,2002,59.20507988
Benin,1992,55.1302191
Bhutan,2005,80.04192495
Bolivia,2012,99.16244835
Bolivia,2011,99.24662884
Bolivia,2009,99.69364094
Bolivia,2008,99.3902301
Bolivia,2007,99.75360949
Bolivia,2001,98.54929121
Bolivia,1992,96.31840594
Bosnia and Herzegovina,2012,99.6792
Bosnia and Herzegovina,2000,99.74820144
Botswana,2012,94.2046
Botswana,2003,92.08330541
Botswana,1991,85.9000679
Brazil,2012,98.22435541
Brazil,2011,97.9099948
Brazil,2010,96.71616589
Brazil,2009,97.44571975
Brazil,2008,97.18046359
Brazil,2007,97.05687541
Brazil,2006,96.79700476
Brazil,2004,95.78389406
Brazil,2000,92.65401397
Brunei Darussalam,2012,99.8104
Brunei Darussalam,2001,98.87430282
Brunei Darussalam,1991,98.10690423
Bulgaria,2011,98.06692851
Bulgaria,2001,98.30966988
Burkina Faso,2007,46.73374183
Burkina Faso,2006,39.82186552
Burkina Faso,2005,40.37980516
Burkina Faso,2003,38.3810866
Burkina Faso,1996,25.47826207
Burkina Faso,1991,26.788801
Burundi,2008,89.59275432
Burundi,2000,76.78002125
Burundi,1990,59.49784114
Cambodia,2009,88.35612053
Cambodia,2008,89.38368417
Cambodia,2004,87.92010601
Cambodia,1998,81.84628583
Cameroon,2010,85.39747653
Cameroon,2007,89.41732097
Cameroon,2000,88.42244808
Cape Verde,2012,97.87189359
Cape Verde,2004,96.22623
Cape Verde,1990,89.94897497
Cayman Islands,2007,99.14231258
Central African Republic,2010,48.85710034
Central African Republic,2000,72.59475219
Chad,2012,53.79584
Chad,2004,53.70823146
Chad,2000,55.68619587
Chad,1993,26.24622604
Chile,2009,98.85938361
Chile,2008,99.11451982
Chile,2002,98.8036365
Chile,1992,98.15645041
China,2010,99.68961915
China,2000,99.19846005
China,1990,96.97693295
"China, Macao Special Administrative Region",2006,99.58699358
"China, Macao Special Administrative Region",2001,99.43008615
Colombia,2011,97.76045048
Colombia,2010,97.68272049
Colombia,2009,97.44112896
Colombia,2008,97.54665965
Colombia,2007,97.48287803
Colombia,2006,97.53365987
Colombia,2005,97.51702521
Colombia,2004,97.5525244
Colombia,1996,96.38511901
Colombia,1993,89.37749509
Comoros,2012,86.31325
Comoros,2000,83.95133256
Congo,2011,85.68360537
Costa Rica,2011,99.00768483
Costa Rica,2000,97.19749352
Cote d'Ivoire,2012,58.33262809
Cote d'Ivoire,2000,70.84071668
Cote d'Ivoire,1998,54.40312929
Croatia,2011,99.71204422
Croatia,2001,99.64425979
Croatia,1991,99.66618314
Cuba,2012,99.98842
Cuba,2002,99.95740613
Cyprus,2011,99.80454237
Cyprus,2001,99.73630832
Cyprus,1992,99.57990952
Democratic Republic of the Congo,2007,78.93641841
Democratic Republic of the Congo,2001,77.9811098
Dominican Republic,2013,96.76269875
Dominican Republic,2012,96.32187328
Dominican Republic,2011,96.09168726
Dominican Republic,2010,95.77529602
Dominican Republic,2007,94.62720859
Dominican Republic,2002,92.99863685
Ecuador,2013,98.5794095
Ecuador,2012,98.77323263
Ecuador,2011,98.58650197
Ecuador,2010,98.46886749
Ecuador,2009,96.81895332
Ecuador,2007,95.21830904
Ecuador,2001,96.37939586
Ecuador,1990,96.57576553
Egypt,2012,92.35576142
Egypt,2010,90.55763169
Egypt,2006,87.85679631
Egypt,2005,90.07911551
Egypt,1996,78.99087266
El Salvador,2011,96.15055812
El Salvador,2010,95.66904441
El Salvador,2009,94.70804818
El Salvador,2008,95.40500822
El Salvador,2007,93.21922167
El Salvador,2006,94.39686831
El Salvador,2004,92.09269
El Salvador,1992,84.94525583
Equatorial Guinea,2012,97.71697
Equatorial Guinea,2000,97.60790432
Eritrea,2012,93.186
Eritrea,2002,86.25322214
Estonia,2011,99.93923545
Estonia,2000,99.72910493
Ethiopia,2007,62.97092717
Ethiopia,2005,55.88473699
Ethiopia,2004,62.2
Ethiopia,1994,39.28867375
Gabon,2012,87.38958842
Gabon,2004,90.89857007
Gabon,1993,94.40755173
Gambia,2012,73.41031
Gambia,2000,64.3404908
Georgia,2012,99.74878
Georgia,2002,99.78848098
Ghana,2010,88.31074545
Ghana,2000,75.94589532
Greece,2012,99.44869
Greece,2001,98.89445859
Greece,1991,98.98842576
Guadeloupe,2012,99.92717
Guadeloupe,2004,99.82892
Guadeloupe,1994,99.46134
Guatemala,2012,95.46641298
Guatemala,2002,86.37878069
Guatemala,1994,81.72106021
Guinea,2010,37.56714683
Guinea,2003,59.46236559
Guinea,1996,44.12004993
Guinea-Bissau,2012,79.69294
Guinea-Bissau,2000,74.80124438
Guyana,2009,92.42121118
Haiti,2006,74.36741089
Haiti,2003,82.65736945
Honduras,2012,94.00283453
Honduras,2011,94.93143533
Honduras,2010,94.44801216
Honduras,2007,92.69526163
Honduras,2001,86.89098646
Hungary,2012,99.31083
Hungary,2004,98.91202
Hungary,1994,99.11068
India,2006,88.41183548
India,2001,84.19223555
India,1991,73.50971807
Indonesia,2011,98.80384289
Indonesia,2009,99.55003197
Indonesia,2008,99.53747847
Indonesia,2006,97.02747277
Indonesia,2004,98.86707685
Indonesia,1990,97.4022711
Iran (Islamic Republic of),2012,98.34094743
Iran (Islamic Republic of),2008,98.78791661
Iran (Islamic Republic of),2006,97.14548209
Iran (Islamic Republic of),2005,98.10998421
Iran (Islamic Republic of),2002,95.51682499
Iran (Islamic Republic of),1996,95.51682499
Iran (Islamic Republic of),1991,92.43550412
Iraq,2012,83.68367
Iraq,2000,88.91217375
Israel,2011,99.65127928
Italy,2012,99.91358
Italy,2001,99.80446678
Jamaica,2012,93.25038
Jamaica,1999,87.31139107
Jordan,2012,99.00203739
Jordan,2011,99.05082613
Jordan,2010,98.7587332
Jordan,2007,98.95204044
Jordan,2005,98.9309969
Jordan,2003,99.32879046
Kazakhstan,2009,99.80390974
Kazakhstan,1999,99.81602516
Kenya,2007,83.20542302
Kenya,2000,93.30951608
"Korea, Democratic People's Republic of",2008,99.99959822
Kuwait,2012,98.73638328
Kuwait,2008,98.56515667
Kuwait,2007,98.39884024
Kuwait,2006,98.52218047
Kuwait,2005,99.69097015
Kuwait,1995,93.79988506
Kyrgyzstan,2009,99.70462783
Kyrgyzstan,1999,99.65077518
Lao People's Democratic Republic,2005,89.1874908
Lao People's Democratic Republic,2001,82.59932603
Lao People's Democratic Republic,2000,88.06196841
Lao People's Democratic Republic,1995,78.81579449
Latvia,2011,99.80218873
Latvia,2000,99.71818182
Lebanon,2007,98.39605772
Lesotho,2009,74.18502802
Lesotho,2000,84.8255814
Liberia,2007,63.45102337
Liberia,2004,63.0036
Liberia,1994,65.76042
Libyan Arab Jamahiriya,2012,99.94915
Libyan Arab Jamahiriya,2004,99.84897
Libyan Arab Jamahiriya,1994,97.85204
Lithuania,2011,99.84547061
Lithuania,2001,99.66222096
Madagascar,2009,65.91478394
Madagascar,2000,72.65446224
Malawi,2010,74.26925428
Malawi,1998,82.09122921
Malaysia,2010,98.38103824
Malaysia,2000,97.20814304
Malaysia,1991,95.90643847
Maldives,2006,99.24021851
Maldives,2000,98.03438683
Maldives,1995,98.03438683
Mali,2011,56.31502241
Mali,2010,56.3712713
Mali,2006,47.37996632
Mali,2003,36.97091
Mali,1998,32.25118119
Malta,2005,97.45976278
Malta,1995,94.3650655
Martinique,2012,99.93907
Martinique,2004,99.70686
Martinique,1994,99.71271
Mauritania,2007,66.39988075
Mauritania,2000,67.7326544
Mauritius,2011,97.68915393
Mauritius,2000,93.72183839
Mauritius,1990,90.69556829
Mexico,2012,98.72037417
Mexico,2011,98.41656107
Mexico,2010,98.37556598
Mexico,2009,98.67002636
Mexico,2008,98.40971453
Mexico,2007,98.19888191
Mexico,2006,98.10612218
Mexico,2005,97.64424541
Mexico,2004,97.51729628
Mexico,2002,97.94070204
Mexico,2000,96.75119972
Mexico,1990,95.9634567
Mongolia,2010,98.02181044
Mongolia,2000,96.99860752
Montenegro,2011,99.36078755
Morocco,2011,88.82941911
Morocco,2009,86.72862296
Morocco,2008,85.80525128
Morocco,2004,80.80266856
Morocco,1994,71.38491296
Mozambique,2009,79.84043864
Mozambique,2003,74.36054839
Mozambique,1997,59.45270084
Myanmar,2012,96.21516
Myanmar,2000,95.78809893
Namibia,2007,83.23857825
Namibia,2001,91.15274027
Namibia,1991,85.70274358
Nepal,2011,89.23629335
Nepal,2001,80.61596701
Nepal,1991,68.2296262
Netherlands Antilles,1992,96.60404624
New Caledonia,2012,99.51515
New Caledonia,1996,99.04862941
Nicaragua,2005,85.15561637
Nicaragua,2001,83.63000046
Niger,2012,34.53362419
Niger,2005,52.44952109
Niger,2001,26.23005545
Nigeria,2008,75.56593722
Nigeria,2003,78.12795462
Nigeria,1991,81.35602772
Oman,2010,97.40564721
Oman,2008,97.63412115
Oman,2003,97.86508824
Pakistan,2011,78.04242424
Pakistan,2010,79.50414208
Pakistan,2009,79.1443213
Pakistan,2008,79.42004971
Pakistan,2006,79.10217602
Pakistan,2005,76.65171889
Pakistan,1998,67.14934851
Palau,2013,99.79518689
Panama,2010,97.93446654
Panama,2000,96.53054015
Panama,1990,95.39388956
Papua New Guinea,2012,66.82729
Papua New Guinea,2000,69.13373534
Paraguay,2010,98.50033924
Paraguay,2009,98.04144732
Paraguay,2008,97.69172261
Paraguay,2007,98.80972003
Paraguay,1992,95.85674636
Peru,2012,98.71933684
Peru,2007,98.01325911
Peru,2006,98.51274617
Peru,2005,97.92135381
Peru,2004,97.80303089
Peru,1993,96.98547746
Philippines,2008,97.01994886
Philippines,2003,93.5782967
Philippines,2000,94.45825794
Philippines,1990,96.27673399
Poland,2012,99.99996
Poland,2004,99.99984
Poland,1994,99.99913
Portugal,2011,99.39179569
Portugal,1991,99.14245762
Puerto Rico,2010,98.81458084
Puerto Rico,2004,88.09477
Puerto Rico,1990,92.22390002
Qatar,2012,98.68559146
Qatar,2011,97.57915505
Qatar,2010,96.32372909
Qatar,2009,97.70183329
Qatar,2008,95.31861467
Qatar,2007,99.09515975
Qatar,2004,94.88587858
Qatar,1997,94.12275963
Republic of Moldova,2012,100
Republic of Moldova,2000,99.40320776
Reunion,2012,99.65406
Reunion,2004,97.98151
Reunion,1994,97.96232
Romania,2011,99.0140865
Romania,2002,97.74422874
Romania,1992,99.18007019
Russian Federation,2010,99.6627803
Russian Federation,2002,99.67908297
Rwanda,2010,76.6585792
Rwanda,2000,78.52216749
Samoa,2012,99.44094
Samoa,2004,99.33326
Samoa,1991,99.12
Sao Tome and Principe,2008,83.05632946
Sao Tome and Principe,2001,95.9739935
Sao Tome and Principe,1991,95.80854043
Saudi Arabia,2013,99.30072221
Saudi Arabia,2004,96.95304816
Saudi Arabia,2000,98.07428346
Saudi Arabia,1992,93.96330673
Senegal,2011,73.96650782
Senegal,2009,74.20334949
Senegal,2006,58.12516734
Senegal,2002,58.48507522
Serbia,2012,99.27789
Seychelles,2012,98.77060254
Seychelles,2002,98.77060254
Seychelles,1994,98.4939759
Sierra Leone,2012,71.63672
Sierra Leone,2004,59.61424877
Singapore,2012,99.84785089
Singapore,2011,99.88403556
Singapore,2010,99.73789066
Singapore,2000,99.40999472
Singapore,1990,98.85512082
Slovenia,2012,99.80696
Slovenia,2004,99.78856
Slovenia,1991,99.73696648
Solomon Islands,1999,90
South Africa,2012,98.4965465
South Africa,2011,98.43063818
South Africa,2010,98.38871944
South Africa,2009,97.91520382
South Africa,2007,97.04517982
South Africa,1996,93.49841007
Spain,2012,99.64105228
Spain,2011,99.65464843
Spain,2010,99.50677069
Spain,2009,99.63875348
Spain,2008,99.52782032
Spain,2007,99.5800084
Spain,2005,99.5716902
Spain,1991,99.54004999
Sri Lanka,2010,97.68653757
Sri Lanka,2008,97.33250608
Sri Lanka,2006,97.0270818
Sri Lanka,2001,95.06528849
State of Palestine,2012,99.34515922
State of Palestine,2011,99.25985747
State of Palestine,2010,99.211347
State of Palestine,2009,99.23298201
State of Palestine,2008,99.26684431
State of Palestine,2007,99.13416076
State of Palestine,2006,99.03929951
State of Palestine,2004,99.02489158
State of Palestine,1997,96.91362726
Sudan,2012,90.31431
Sudan,2000,85.69495806
Sudan (former),2000,85.69495806
Suriname,2010,97.97273475
Suriname,2008,99.37585629
Suriname,2004,95.61588309
Swaziland,2010,92.18741711
Swaziland,2000,90.69414591
Syrian Arab Republic,2012,96.57641
Syrian Arab Republic,2004,94.60731035
Syrian Arab Republic,2002,97.14406544
Tajikistan,2012,99.85813
Tajikistan,2000,99.84442804
Thailand,2010,96.64254632
Thailand,2005,98.21680556
Thailand,2000,98.09989085
The former Yugoslav Republic of Macedonia,2012,98.7972
The former Yugoslav Republic of Macedonia,2002,98.98544358
The former Yugoslav Republic of Macedonia,1994,99.14446268
Timor-Leste,2010,80.48975532
Togo,2011,86.91667539
Togo,2009,87.62799964
Togo,2006,84.85531785
Togo,2000,83.78623188
Tonga,2011,99.36657131
Tonga,2006,99.30216329
Tonga,1996,99.26522396
Trinidad and Tobago,2012,99.57079
Trinidad and Tobago,2004,99.48472
Trinidad and Tobago,1990,99.3
Tunisia,2011,98.23632634
Tunisia,2010,98.21085292
Tunisia,2008,98.13430508
Tunisia,2007,97.83990688
Tunisia,2004,96.39501438
Tunisia,1994,90.3801
Turkey,2012,99.59050494
Turkey,2011,99.44670284
Turkey,2010,99.21415988
Turkey,2009,99.01895668
Turkey,2007,98.58455882
Turkey,2006,98.36595745
Turkey,2005,98.36092715
Turkey,2004,98.02444333
Turkey,1990,96.57076598
Turkmenistan,2012,99.77127
Turkmenistan,1995,99.80790705
Uganda,2010,89.63518814
Uganda,2006,87.26584862
Uganda,2002,85.9575765
Uganda,1991,77.22388361
Ukraine,2012,99.73348
Ukraine,2001,99.77623836
United Arab Emirates,2005,93.62514965
United Republic of Tanzania,2010,76.49114214
United Republic of Tanzania,2002,80.91718018
Uruguay,2012,98.6261243
Uruguay,2011,98.61339618
Uruguay,2010,98.35943326
Uruguay,2009,98.14126394
Uruguay,2008,98.627738
Uruguay,2007,98.4888004
Uruguay,2006,98.31210606
Uruguay,1996,98.15317379
Uzbekistan,2012,99.89208
Uzbekistan,2000,99.85337243
Vanuatu,2012,94.70366
Vanuatu,2004,92.10684
Vanuatu,1994,87.30344
Venezuela,2009,98.26986295
Venezuela,2007,97.97440491
Venezuela,2001,96.3262226
Venezuela,1990,94.52074968
Viet Nam,2009,97.39524458
Viet Nam,2000,95.58780842
Viet Nam,1999,94.17869376
Yemen,2012,96.71224
Yemen,2004,92.82117
Yemen,1994,82.80422093
Zambia,2007,70.30841176
Zambia,2002,77.72511848
Zambia,1999,72.61559571
Zambia,1990,67.2693468
Zimbabwe,2011,89.59058436
Zimbabwe,1992,96.54062343
