Reference Area,Time Period,Value
Nepal,2011,1.09219
Nepal,2010,1.05284
Nepal,2008,1.01186
Nepal,2002,0.52328
Nicaragua,2008,1.22582
Nicaragua,2007,1.14431
Nicaragua,2006,1.07279
Nicaragua,2005,1.23227
Nicaragua,2004,1.20956
Nicaragua,2001,1.1475
Nicaragua,2000,1.12733
Niger,2015,1.00292
Niger,2014,3.15705
Niger,2013,1.12166
Niger,2010,0.9568
Niger,2006,0.87599
Niger,2004,1.00939
Niger,2003,0.97204
Nigeria,2010,0.71834
Nigeria,2006,1.14353
Niue,2015,1
Oman,2009,1
Oman,2001,1
Oman,2000,1
Panama,2012,1.04959
Panama,2011,1.0487
Panama,2010,1.06605
Panama,2009,1.06595
Panama,2008,1.04893
Panama,2007,1.05081
Panama,2006,1.05226
Panama,2005,1.15537
Panama,2004,1.14413
Panama,2002,1.15276
Panama,2001,1.0528
Panama,2000,1.07577
Papua New Guinea,2012,1
Paraguay,2012,1.07463
Puerto Rico,2014,1
Qatar,2008,1.1982
Qatar,2006,1.04654
Saint Kitts and Nevis,2012,1.16034
Saint Kitts and Nevis,2011,1.01063
Saint Kitts and Nevis,2010,1.32212
Saint Kitts and Nevis,2009,1.17465
Saint Kitts and Nevis,2005,0.68208
Saint Kitts and Nevis,2004,0.85133
Saint Kitts and Nevis,2003,0.69889
Saint Kitts and Nevis,2002,0.9813
Saint Lucia,2014,1.24844
Saint Lucia,2013,1.13786
Saint Lucia,2012,1.1055
Saint Lucia,2011,1.09219
Saint Vincent and the Grenadines,2010,1.01796
Saint Vincent and the Grenadines,2009,1.73964
Saint Vincent and the Grenadines,2008,1.13507
Saint Vincent and the Grenadines,2004,0.85136
Saint Vincent and the Grenadines,2003,0.80801
Saint Vincent and the Grenadines,2002,0.71318
Saint Vincent and the Grenadines,2001,0.90082
Samoa,2014,1
Sao Tome and Principe,2011,1.10345
Saudi Arabia,2014,1
Saudi Arabia,2013,1
Serbia,2012,1.37156
Serbia,2011,1.47845
Serbia,2007,1
Sierra Leone,2015,1.04203
Sierra Leone,2013,1.0626
Sierra Leone,2012,1.20566
Sierra Leone,2011,1.19277
Singapore,2009,1.03732
Singapore,2008,1.00074
Singapore,2007,1.01452
Solomon Islands,2015,1.11903
Solomon Islands,2010,1.02526
Somalia,2007,1.00325
State of Palestine,2015,1
State of Palestine,2014,1
State of Palestine,2013,1
State of Palestine,2012,1
State of Palestine,2011,1
State of Palestine,2010,1
State of Palestine,2009,1
State of Palestine,2008,1
State of Palestine,2007,1
State of Palestine,2005,1
State of Palestine,2004,1
State of Palestine,2003,1
State of Palestine,2002,1
Sudan,2013,1.02762
Sudan,2012,1.02716
Suriname,2015,0.83883
Suriname,2014,0.8202
Suriname,2013,0.77328
Suriname,2012,0.71618
Suriname,2011,0.76851
Suriname,2010,0.83304
Suriname,2009,1
Syrian Arab Republic,2013,0.99117
Syrian Arab Republic,2010,0.94805
Syrian Arab Republic,2007,0.93357
Syrian Arab Republic,2006,0.92533
Thailand,2015,1
Vanuatu,2015,0.66131
Yemen,2013,0.98956
