Reference Area,Time Period,Sex,Value
Austria,2011,Female,47.6
Austria,2011,Male,48.7
Austria,2011,Total,48.2
Austria,2007,Female,39.9
Austria,2007,Male,44
Austria,2007,Total,41.9
Belgium,2011,Female,36.9
Belgium,2011,Male,38.6
Belgium,2011,Total,37.7
Belgium,2007,Female,39.8
Belgium,2007,Male,41.2
Belgium,2007,Total,40.5
Bulgaria,2011,Female,24.6
Bulgaria,2011,Male,27.5
Bulgaria,2011,Total,26
Bulgaria,2007,Female,35
Bulgaria,2007,Male,37.9
Bulgaria,2007,Total,36.4
Croatia,2007,Female,21.1
Croatia,2007,Male,21.4
Croatia,2007,Total,21.2
Cyprus,2011,Female,41.5
Cyprus,2011,Male,43.1
Cyprus,2011,Total,42.3
Cyprus,2007,Female,38.2
Cyprus,2007,Male,43
Cyprus,2007,Total,40.6
Czechia,2011,Female,37
Czechia,2011,Male,37.2
Czechia,2011,Total,37.1
Czechia,2007,Female,33.6
Czechia,2007,Male,41.6
Czechia,2007,Total,37.6
Denmark,2011,Female,61.8
Denmark,2011,Male,55.2
Denmark,2011,Total,58.5
Denmark,2007,Female,45.1
Denmark,2007,Male,43.9
Denmark,2007,Total,44.5
Estonia,2011,Female,53.3
Estonia,2011,Male,46.1
Estonia,2011,Total,49.9
Estonia,2007,Female,46.7
Estonia,2007,Male,36.9
Estonia,2007,Total,42.1
Finland,2011,Female,63.1
Finland,2011,Male,48.5
Finland,2011,Total,55.7
Finland,2007,Female,61.3
Finland,2007,Male,48.9
Finland,2007,Total,55
France,2011,Female,50.8
France,2011,Male,50.2
France,2011,Total,50.5
France,2007,Female,33.8
France,2007,Male,36.4
France,2007,Total,35.1
Germany,2011,Female,47.6
Germany,2011,Male,52.8
Germany,2011,Total,50.2
Germany,2007,Female,42.4
Germany,2007,Male,48.3
Germany,2007,Total,45.4
Greece,2011,Female,13.1
Greece,2011,Male,10.3
Greece,2011,Total,11.7
Greece,2007,Female,14.6
Greece,2007,Male,14.3
Greece,2007,Total,14.5
Hungary,2011,Female,39.4
Hungary,2011,Male,43
Hungary,2011,Total,41.1
Hungary,2007,Female,9.6
Hungary,2007,Male,8.3
Hungary,2007,Total,9
Ireland,2011,Female,24.4
Ireland,2011,Male,24.5
Ireland,2011,Total,24.4
Italy,2011,Female,34
Italy,2011,Male,37.3
Italy,2011,Total,35.6
Italy,2007,Female,22.2
Italy,2007,Male,22.2
Italy,2007,Total,22.2
Latvia,2011,Female,37.3
Latvia,2011,Male,26.9
Latvia,2011,Total,32.3
Latvia,2007,Female,39
Latvia,2007,Male,25.9
Latvia,2007,Total,32.7
Lithuania,2011,Female,33.1
Lithuania,2011,Male,23.4
Lithuania,2011,Total,28.5
Lithuania,2007,Female,38.7
Lithuania,2007,Male,28.7
Lithuania,2007,Total,33.9
Luxembourg,2011,Female,68.5
Luxembourg,2011,Male,71.6
Luxembourg,2011,Total,70.1
Malta,2011,Female,34.1
Malta,2011,Male,37.7
Malta,2011,Total,35.9
Malta,2007,Female,32.8
Malta,2007,Male,34.6
Malta,2007,Total,33.7
Netherlands,2011,Female,55.8
Netherlands,2011,Male,62.8
Netherlands,2011,Total,59.3
Netherlands,2007,Female,41.6
Netherlands,2007,Male,47.5
Netherlands,2007,Total,44.6
Norway,2011,Female,60.9
Norway,2011,Male,59.2
Norway,2011,Total,60
Norway,2007,Female,55.9
Norway,2007,Male,53.3
Norway,2007,Total,54.6
Poland,2011,Female,25.2
Poland,2011,Male,23.2
Poland,2011,Total,24.2
Poland,2007,Female,22.4
Poland,2007,Male,21.3
Poland,2007,Total,21.8
Portugal,2011,Female,45.2
Portugal,2011,Male,43.5
Portugal,2011,Total,44.4
Portugal,2007,Female,25.9
Portugal,2007,Male,27
Portugal,2007,Total,26.4
Romania,2011,Female,8
Romania,2011,Male,8
Romania,2011,Total,8
Romania,2007,Female,7.9
Romania,2007,Male,6.9
Romania,2007,Total,7.4
Serbia,2011,Female,16.1
Serbia,2011,Male,16.8
Serbia,2011,Total,16.5
Serbia,2007,Female,46.7
Serbia,2007,Male,51.4
Serbia,2007,Total,49
Slovakia,2011,Female,41.9
Slovakia,2011,Male,41.4
Slovakia,2011,Total,41.6
Slovakia,2007,Female,42.8
Slovakia,2007,Male,45.3
Slovakia,2007,Total,44
Slovenia,2011,Female,37.9
Slovenia,2011,Male,34.5
Slovenia,2011,Total,36.2
Slovenia,2007,Female,43.1
Slovenia,2007,Male,38.1
Slovenia,2007,Total,40.6
Spain,2011,Female,36.6
Spain,2011,Male,38.8
Spain,2011,Total,37.7
Spain,2007,Female,31
Spain,2007,Male,30.8
Spain,2007,Total,30.9
Sweden,2011,Female,74.4
Sweden,2011,Male,69.2
Sweden,2011,Total,71.8
Sweden,2007,Female,76.1
Sweden,2007,Male,70.8
Sweden,2007,Total,73.4
Switzerland,2011,Female,66
Switzerland,2011,Male,65
Switzerland,2011,Total,65.5
Turkey,2011,Female,15.1
Turkey,2011,Male,20.6
Turkey,2011,Total,17.8
Turkey,2007,Female,10.5
Turkey,2007,Male,17.7
Turkey,2007,Total,14.1
United Kingdom of Great Britain and Northern Ireland,2011,Female,37.9
United Kingdom of Great Britain and Northern Ireland,2011,Male,33.6
United Kingdom of Great Britain and Northern Ireland,2011,Total,35.8
United Kingdom of Great Britain and Northern Ireland,2007,Female,51.3
United Kingdom of Great Britain and Northern Ireland,2007,Male,47.2
United Kingdom of Great Britain and Northern Ireland,2007,Total,49.3
